DATE,OPEN,HIGH,LOW,CLOSE,SPEED Signal SL,REV SL,SPEED Trend SL
27-09-2016,551,554.25,538.7,541,581.89,559.42,612.55
28-09-2016,543.15,550.65,540.5,549.1,572.09,548.9,612.55
29-09-2016,554.45,554.85,523.45,539.3,561.49,536.85,612.55
30-09-2016,535,547.15,530.6,541.35,555.35,534.62,612.55
03-10-2016,542.95,552.3,542.9,550.9,552.87,535.28,596.64
04-10-2016,553,553.35,541,546.6,553.85,536.39,560.5
05-10-2016,550,550.65,533.25,535.7,553.85,533.64,555.35
06-10-2016,531.7,535,524.05,530.8,551.15,533.91,555.35
07-10-2016,530,539.4,530,533.85,546.22,533.35,555.35
10-10-2016,538,538.75,530.3,531.55,542.67,529.99,553.85
13-10-2016,529,529.9,513.2,518.8,539.23,524.15,553.85
14-10-2016,521,525,516.8,520.65,533.35,521.66,553.85
17-10-2016,524.15,533.8,517.1,519,534.28,519.24,551.15
18-10-2016,523.9,534.05,518.4,532.45,534.53,517.87,539.89
19-10-2016,535.65,542,529.1,535.55,517.93,533,542.49
20-10-2016,537.1,544.85,536,540.05,522.9,536.31,545.34
21-10-2016,538.7,539.2,524.2,526.1,523.66,545.34,545.34
24-10-2016,529.45,530,517.55,521.55,539.69,524.31,545.34
25-10-2016,520.9,531.5,520.1,529.1,537.34,524.26,545.34
26-10-2016,499,502,484.5,487.55,531.98,514.59,545.34
27-10-2016,485,489.6,477.3,485.65,521.49,501.55,545.34
28-10-2016,486.9,494,484.55,486.9,512.04,493.56,545.34
30-10-2016,490,491,486.2,487.7,503.23,489.63,539.69
01-11-2016,488.05,488.05,474.45,475.8,494.99,479.34,531.98
02-11-2016,469.8,480.5,468.1,476.8,488.53,477.15,531.98
03-11-2016,475.5,479.8,473.65,475.85,486.16,476.01,502.45
04-11-2016,474.4,485.7,474.2,478.7,486.14,474.1,494.44
07-11-2016,484.75,489.45,482.05,485.4,489.89,473.34,494.44
08-11-2016,487.05,492.45,483.25,490.85,476.22,486.42,492.89
09-11-2016,459,493.95,458.95,487.55,458.54,490.26,494.39
10-11-2016,494,513.6,494,506.95,458.54,497.56,458.54
11-11-2016,505,512.7,495,498.75,483.79,502.46,458.54
15-11-2016,498,503,476.75,479.3,513.16,481.37,458.54
16-11-2016,486.85,487.35,470.1,472.7,503.45,477.54,458.54
17-11-2016,474.35,484.4,471.35,474.1,497.68,478.03,458.54
18-11-2016,478,478.9,472,473.45,490.05,472.95,458.54
21-11-2016,475.9,476.5,463.05,465.7,483.08,466.7,462.63
22-11-2016,468.05,475.5,458.05,470.75,479.37,464.9,457.64
23-11-2016,475,482.55,469.15,480.5,457.64,479.84,457.64
24-11-2016,479.7,479.7,466.05,468.2,464.96,478.78,457.64
25-11-2016,472.25,473,465.3,471.2,464.16,478.14,457.64
28-11-2016,464,477.6,461.15,472.9,460.73,479.37,457.64
29-11-2016,473,475.6,463,464.65,460.73,478.24,457.64
30-11-2016,465,471,462.05,469.85,461.63,475.75,457.64
01-12-2016,474,474.45,464.3,466.05,461.63,474.88,460.73
02-12-2016,466.9,466.9,458,459.95,474.88,460.8,480.13
05-12-2016,457.7,464.7,455.8,460.75,470.07,459.33,478.03
06-12-2016,461.8,463.2,454.35,455.95,467.83,457.84,478.03
07-12-2016,457.85,457.85,441.25,447.1,464.42,452.92,476.03
08-12-2016,449.9,452.85,447.4,449.35,460.44,449.88,474.88
09-12-2016,451.7,458,445.55,456.4,459.61,448.34,474.88
12-12-2016,445,452,444.1,445.1,458.41,445.55,467.32
13-12-2016,445.8,454.45,442.3,452.95,455.84,444.12,465.12
14-12-2016,454.65,469.8,454,467.2,441.9,459.27,440.85
15-12-2016,459.1,479.4,459.1,478.1,451.32,465.87,440.85
16-12-2016,479.5,480.7,468.7,472.8,455.08,469.54,441.9
19-12-2016,469.5,472.75,466.45,467.6,459.67,473.82,441.9
20-12-2016,469,469.7,460.45,461.65,462.23,475.81,441.9
21-12-2016,463.55,465.8,455.1,457.7,473.93,461.38,441.9
22-12-2016,455.8,455.8,445.05,447.55,467.64,457.01,444.65
23-12-2016,448,449.35,436,438.1,462.51,450.12,481.13
26-12-2016,435.1,435.85,427,432,456.31,442.58,481.13
27-12-2016,431.1,438.9,431.1,437.65,449.76,437.53,473.18
28-12-2016,439.7,448.25,438,440.05,445.06,430.71,470.12
29-12-2016,442,445.9,437.7,444.25,443.79,433.31,466.22
